panel,method,station,mae,mse
beijing/legacy_native_h96,full_sample_point_median16,Gucheng,0.94756621725506096,1.8137006965662434
beijing/legacy_native_h96,full_sample_point_median16,Huairou,0.81381019921083531,1.4799208086085285
beijing/legacy_native_h96,full_sample_point_median16,Nongzhanguan,0.85239041813852723,1.5328489859940073
beijing/legacy_native_h96,full_sample_point_median16,Shunyi,0.90492489733050452,1.8036937831339082
beijing/legacy_native_h96,full_sample_point_median16,Tiantan,0.84632078659382259,1.9194009542478423
beijing/legacy_native_h96,full_sample_point_median16,Wanliu,0.96447700265618219,2.435494959404366
beijing/legacy_native_h96,full_sample_point_median16,Wanshouxigong,0.80530391524491762,1.959750630260062
beijing/legacy_native_h96,full_smoothed_cdf_median,Aotizhongxin,1.0706331102075297,2.280289852212404
beijing/legacy_native_h96,full_smoothed_cdf_median,Changping,0.69258985740251722,1.1601366698612186
beijing/legacy_native_h96,full_smoothed_cdf_median,Dingling,0.89668747600212551,1.6014518808607352
beijing/legacy_native_h96,full_smoothed_cdf_median,Dongsi,0.89278348207621983,1.5981412463940996
beijing/legacy_native_h96,full_smoothed_cdf_median,Guanyuan,0.89809944589424906,1.8464198194493211
beijing/legacy_native_h96,full_smoothed_cdf_median,Gucheng,0.94982566453797301,1.8133701763747472
beijing/legacy_native_h96,full_smoothed_cdf_median,Huairou,0.81333181186912029,1.477194325156834
beijing/legacy_native_h96,full_smoothed_cdf_median,Nongzhanguan,0.85110313756850209,1.5289014998495094
beijing/legacy_native_h96,full_smoothed_cdf_median,Shunyi,0.9045201741098069,1.8031587452811835
beijing/legacy_native_h96,full_smoothed_cdf_median,Tiantan,0.83896058616979174,1.9215947058267879
beijing/legacy_native_h96,full_smoothed_cdf_median,Wanliu,0.96256490826778585,2.4263031979916283
beijing/legacy_native_h96,full_smoothed_cdf_median,Wanshouxigong,0.80662822492963282,1.9555367676395947
beijing/legacy_native_h96,full_smoothed_point,Aotizhongxin,1.0706331102075297,2.280289852212404
beijing/legacy_native_h96,full_smoothed_point,Changping,0.69258985740251722,1.1601366698612186
beijing/legacy_native_h96,full_smoothed_point,Dingling,0.89668747600212551,1.6014518808607352
beijing/legacy_native_h96,full_smoothed_point,Dongsi,0.89278348207621983,1.5981412463940996
beijing/legacy_native_h96,full_smoothed_point,Guanyuan,0.89809944589424906,1.8464198194493211
beijing/legacy_native_h96,full_smoothed_point,Gucheng,0.94982566453797301,1.8133701763747472
beijing/legacy_native_h96,full_smoothed_point,Huairou,0.81333181186912029,1.477194325156834
beijing/legacy_native_h96,full_smoothed_point,Nongzhanguan,0.85110313756850209,1.5289014998495094
beijing/legacy_native_h96,full_smoothed_point,Shunyi,0.9045201741098069,1.8031587452811835
beijing/legacy_native_h96,full_smoothed_point,Tiantan,0.83896058616979174,1.9215947058267879
beijing/legacy_native_h96,full_smoothed_point,Wanliu,0.96256490826778585,2.4263031979916283
beijing/legacy_native_h96,full_smoothed_point,Wanshouxigong,0.80662822492963282,1.9555367676395947
beijing/legacy_native_h96,full_static_point,Aotizhongxin,1.0659306345752011,2.2777167235801832
beijing/legacy_native_h96,full_static_point,Changping,0.6900972232063205,1.1504613145856897
beijing/legacy_native_h96,full_static_point,Dingling,0.90293350393669625,1.5989427882340135
beijing/legacy_native_h96,full_static_point,Dongsi,0.8774152665273397,1.5514685555110121
beijing/legacy_native_h96,full_static_point,Guanyuan,0.89597313879564133,1.8266376113751284
beijing/legacy_native_h96,full_static_point,Gucheng,0.91336495114530614,1.6773377465609143
beijing/legacy_native_h96,full_static_point,Huairou,0.80405731653369061,1.4456739346879708
beijing/legacy_native_h96,full_static_point,Nongzhanguan,0.83674878065477865,1.4803518387382948
beijing/legacy_native_h96,full_static_point,Shunyi,0.89184472107216128,1.754384107919041
beijing/legacy_native_h96,full_static_point,Tiantan,0.83006202542197949,1.8857143715589701
beijing/legacy_native_h96,full_static_point,Wanliu,0.9609177032190539,2.429281570153961
beijing/legacy_native_h96,full_static_point,Wanshouxigong,0.79502231870228113,1.9138377961792103
beijing/legacy_native_h96,gaussian_conditional_attention,Aotizhongxin,1.066450613592252,2.2803239865183769
beijing/legacy_native_h96,gaussian_conditional_attention,Changping,0.6907130510574867,1.1501838619944125
beijing/legacy_native_h96,gaussian_conditional_attention,Dingling,0.90105355315805102,1.5955088504944555
beijing/legacy_native_h96,gaussian_conditional_attention,Dongsi,0.87843742923760348,1.5599871184217899
beijing/legacy_native_h96,gaussian_conditional_attention,Guanyuan,0.89728168520270724,1.8341601416929267
beijing/legacy_native_h96,gaussian_conditional_attention,Gucheng,0.91740480505970901,1.6898851781780526
beijing/legacy_native_h96,gaussian_conditional_attention,Huairou,0.80436473169115352,1.4468793826099073
